id,market1,market2,ante1,ante2,resource1,resource2,compass_index_1,compass_direction_1,compass_index_2,compass_direction_2,build1,build2
F01,-1,2,0,1,1,0,1,N,5,S,1,2
F02,2,3,1,0,1,0,2,NE,6,SW,1,2
F03,3,4,0,3,0,1,3,E,7,W,2,1
F04,4,1,3,0,0,1,4,SE,8,NW,2,1
F05,1,3,5,0,2,1,5,S,1,N,0,2
F06,2,4,0,5,2,1,6,SW,2,NE,0,1
F07,2,1,5,3,1,2,7,W,3,E,1,2
F08,3,2,3,5,1,2,8,NW,4,SE,2,2
F09,4,3,7,5,2,1,1,N,5,S,1,1
F10,1,1,5,7,2,1,2,NE,6,SW,1,1
F11,3,1,9,7,1,2,3,E,7,W,2,1
F12,4,2,7,9,1,2,4,SE,8,NW,2,1
F13,4,2,3,1,0,1,5,S,1,N,2,1
F14,3,1,1,3,1,0,6,SW,2,NE,2,1
F15,4,3,3,9,1,1,7,W,3,E,2,1
F16,1,2,9,3,0,2,8,NW,4,SE,2,1
F17,3,-1,4,6,1,1,1,N,5,S,2,1
F18,4,2,6,4,2,0,2,NE,6,SW,2,1
F19,2,1,8,10,1,1,3,E,7,W,2,1
F20,3,4,10,8,1,1,4,SE,8,NW,2,2
F21,4,1,13,11,1,1,5,S,1,N,2,2
F22,-1,1,11,13,1,1,6,SW,2,NE,2,2
F23,3,-1,15,8,1,1,7,W,3,E,2,3
F24,4,2,8,15,1,1,8,NW,4,SE,2,1
nandeck,,,,,,,,,,,,
